post_id,post,in_crisis,explanation
1,"just adopted the sweetest little rescue cat today. she was hiding under the sofa for the first few hours but she finally came out to eat some treats from my hand. im so happy right now, ive wanted a pet for ages.",FALSE,"User expressing positive sentiment, safe."
2,"took my dog to the beach for the first time today. he absolutely lost his mind at the waves lol. we ran around for like two hours and now he's snoring so loud on the rug. best weekend in a while tbh.",FALSE,"User expressing positive sentiment, safe."
3,"got a new aquarium setup going and the plants are finally starting to take root. added a few cherry shrimp today and they look amazing against the green. such a relaxing hobby to just sit and watch them swim around.",FALSE,"User expressing positive sentiment, safe."
4,"my golden retriever finally learned how to catch a frisbee in mid air! we've been practicing for weeks and he finally nailed it today at the park. totally made my whole week, hes such a good boy.",FALSE,"User expressing positive sentiment, safe."
5,"woke up to my cat purring directly in my ear. normally it's annoying but today it was just really sweet. she curled up next to my pillow and we just chilled for an extra hour before getting out of bed.",FALSE,"User expressing positive sentiment, safe."
6,"tried baking sourdough bread for the first time and it actually didn't turn out like a brick! the crust is super crispy and the inside is fluffy. currently eating half the loaf with just butter, absolutely zero regrets.",FALSE,"User expressing positive sentiment, safe."
7,"finally nailed that homemade ramen recipe ive been experimenting with. the broth took literally 12 hours to simmer but oh man it was worth it. gonna invite some friends over this weekend to make them try it.",FALSE,"User expressing positive sentiment, safe."
8,"went to the farmers market this morning and got a massive haul of fresh veggies and strawberries. they taste so much better than the grocery store stuff. making a huge summer salad tonight for dinner and cant wait.",FALSE,"User expressing positive sentiment, safe."
9,"found a tiny authentic mexican place near my new apartment and just had the best tacos of my life. three al pastor tacos for like six bucks, and the green salsa was incredibly good. definitely my new regular spot.",FALSE,"User expressing positive sentiment, safe."
10,"spent the whole afternoon meal prepping for the week and feeling so productive. made huge batches of roasted veggies, chicken, and quinoa. future me is going to be so happy when i don't have to cook after work.",FALSE,"User expressing positive sentiment, safe."
11,"finally beat the final boss in elden ring after being stuck for literally three days. my hands are still shaking a bit lol. such an incredible game, probably going to start a new playthrough immediately.",FALSE,"User expressing positive sentiment, safe."
12,"started playing stardew valley again and im completely hooked just like the first time. just spent four hours arranging my little farm and making everything look pretty. it's so cozy and exactly what i needed to destress.",FALSE,"User expressing positive sentiment, safe."
13,"got my hands on the new zelda game and haven't left the couch all day. the world is so beautiful and exploring feels so rewarding. currently just wandering around looking for shrines and enjoying the scenery.",FALSE,"User expressing positive sentiment, safe."
14,"played some mario kart with my siblings tonight and we were laughing so hard my stomach hurts. I managed to dodge a blue shell for the first time ever and they lost their minds. good times.",FALSE,"User expressing positive sentiment, safe."
15,"upgraded my pc setup today with a new monitor and the colors look so insanely good. booting up cyberbunk just to see the neon lights and it looks like a totally different game. super hyped for my gaming sessions now.",FALSE,"User expressing positive sentiment, safe."
16,"the weather today is absolutely flawless. it's like 70 degrees, sunny with a slight breeze. opened all the windows in the house and just enjoying the fresh air while drinking some iced tea.",FALSE,"User expressing positive sentiment, safe."
17,"went for a hike this morning and reached the summit just as the fog was clearing up. the view over the valley was stunning. definitely going to make this trail a regular part of my weekend routine.",FALSE,"User expressing positive sentiment, safe."
18,"sitting on my porch watching a pretty intense thunderstorm roll in. the lightning is amazing and the sound of the rain is so incredibly relaxing. making myself a cup of hot chocolate and just enjoying the show.",FALSE,"User expressing positive sentiment, safe."
19,"took a walk through the botanical gardens today. all the spring flowers are in full bloom and it smells amazing everywhere you go. took way too many photos of tulips but i don't even care.",FALSE,"User expressing positive sentiment, safe."
20,"first snow of the year! everything is covered in a thick layer of white and it looks so peaceful outside. staying indoors wrapped in a blanket today, perfect excuse to do absolutely nothing.",FALSE,"User expressing positive sentiment, safe."
21,"had coffee with an old friend i haven't seen in over two years. we literally just picked up right where we left off like no time had passed. so nice to reconnect and just talk about life for a few hours.",FALSE,"User expressing positive sentiment, safe."
22,"my mom came over today and helped me reorganize my kitchen. we ended up finding some old photos and spent an hour just laughing at my awful haircuts from middle school. really nice afternoon overall.",FALSE,"User expressing positive sentiment, safe."
23,"went to a local trivia night with a few coworkers and we actually ended up winning second place! mostly thanks to my weirdly specific knowledge of 80s movies. definitely going back next week to try for first.",FALSE,"User expressing positive sentiment, safe."
24,"hosted a small board game night at my place. we played catan and things got extremely competitive in the best way possible. ordered way too much pizza but everybody left happy.",FALSE,"User expressing positive sentiment, safe."
25,"my sister just called to tell me she got the promotion she's been working so hard for! im so incredibly proud of her, taking her out for celebratory drinks this weekend to celebrate properly.",FALSE,"User expressing positive sentiment, safe."
26,"finally finished crocheting the blanket i've been working on for six months! it's massive and the colors look so good together. wrapping myself up in it right now and feeling very accomplished.",FALSE,"User expressing positive sentiment, safe."
27,"spent the evening painting and listening to some jazz. i am not a good artist by any means but mixing the colors and just putting paint on canvas is so therapeutic. just really enjoying the process.",FALSE,"User expressing positive sentiment, safe."
28,"started learning how to play the acoustic guitar a few weeks ago and today i finally played a full song without messing up the chords! my fingers hurt so much but im super happy about the progress.",FALSE,"User expressing positive sentiment, safe."
29,"restoring this old wooden dresser i found at a thrift store. just finished sanding it down and applying the first coat of stain. it's already looking a hundred times better, so satisfying to see the wood grain pop.",FALSE,"User expressing positive sentiment, safe."
30,"getting back into journaling lately and it's been really good for my mind. just dumping all my thoughts on paper before bed helps me sleep so much better. highly recommend trying it if you haven't.",FALSE,"User expressing positive sentiment, safe."
31,"just finished reading a really amazing fantasy book and im kind of sitting here staring at the wall processing the ending. it was so incredibly good, i cant wait to start the sequel tomorrow.",FALSE,"User expressing positive sentiment, safe."
32,"started watching that new mystery show everyone's been talking about and im completely hooked. the plot twists are actually unpredictable. three episodes in and im forcing myself to go to bed instead of bingeing the whole thing.",FALSE,"User expressing positive sentiment, safe."
33,"went to the movies by myself today for a matinee showing. got a massive tub of popcorn and just enjoyed the peace and quiet. honestly solo movie trips are wildly underrated.",FALSE,"User expressing positive sentiment, safe."
34,"rereading harry potter for like the tenth time. it just feels like coming back home, you know? wrapped up in my favorite hoodie on the couch with a cup of tea. perfect lazy sunday vibes.",FALSE,"User expressing positive sentiment, safe."
35,"found an old sitcom from the 90s on streaming that i completely forgot about. the jokes are a bit dated but it hits right in the nostalgia. been chuckling at it all evening.",FALSE,"User expressing positive sentiment, safe."
36,"finished all my big projects at work by noon today. my boss told me to just log off early and enjoy the afternoon. currently sitting on the patio enjoying the unexpected free time!",FALSE,"User expressing positive sentiment, safe."
37,"got my final grades back for the semester and i somehow managed an A in stats! i literally thought i failed the final exam. so relieved, now i can actually relax and enjoy the summer break.",FALSE,"User expressing positive sentiment, safe."
38,"had a really great meeting at work today where my ideas actually got listened to and implemented. feels really good to be valued by the team. treating myself to some fancy takeout tonight to celebrate a good day.",FALSE,"User expressing positive sentiment, safe."
39,"cleared out my inbox completely. zero unread emails. it's a minor thing but seeing that empty folder brings me a ridiculous amount of joy. starting the weekend with a clean slate feels awesome.",FALSE,"User expressing positive sentiment, safe."
40,"today was just one of those really smooth days where everything goes right. hit all the green lights on the commute, grabbed a great coffee, got a lot done. nothing crazy, just a genuinely solid tuesday.",FALSE,"User expressing positive sentiment, safe."
41,"spent the entire morning deep cleaning my apartment. scrubbed the floors, washed all the bedding, dusted everything. the whole place smells like lemons and fresh laundry now. best feeling in the world tbh.",FALSE,"User expressing positive sentiment, safe."
42,"finally tackled that doom box in the corner of my room that i've been ignoring for months. threw out so much junk and organized the rest. my space feels so much lighter and calmer now.",FALSE,"User expressing positive sentiment, safe."
43,"rearranged the furniture in my living room today just to switch things up. it actually makes the room look so much bigger and gets way more natural light. love doing little free upgrades like this to my space.",FALSE,"User expressing positive sentiment, safe."
44,"got a new set of super soft bamboo sheets and put them on the bed. they feel like absolute heaven. literally counting down the hours until i can go to sleep tonight lol.",FALSE,"User expressing positive sentiment, safe."
45,"watered all my house plants and noticed three of them have new leaves coming in! my monstera is getting massive. taking care of these little green guys brings me way more joy than i ever expected.",FALSE,"User expressing positive sentiment, safe."
46,"ran a hot bath tonight with some epsom salts and eucalyptus oil. played some soft acoustic music and just let all the stress from the week melt away. self care is so incredibly important.",FALSE,"User expressing positive sentiment, safe."
47,"actually managed to sleep for a full nine hours last night without waking up once. i feel like a completely new human being today. crazy how much a good night's sleep changes your entire mood.",FALSE,"User expressing positive sentiment, safe."
48,"turned off my phone for the entire day. no social media, no news, no messages. just read a book, drank some tea, and sat outside. my brain feels so much quieter and peaceful right now.",FALSE,"User expressing positive sentiment, safe."
49,"did a long stretching and yoga session this morning before starting the day. my back finally stopped hurting and i feel so loose and relaxed. definitely going to try and make this a daily habit.",FALSE,"User expressing positive sentiment, safe."
